set	Id	Date	Time	Center.dep	Sv.mean	Area	Trans.tilt	AlongBeamSize	AlongRingSize	Dudoso	Pulso	Rango	Frecuency	Diancia del Banco (m)
5	116	01122018	001116	16.41	-50.06	33319.2	-3.01	198.99	727.12	0	6000	500	75	258.3526484
5	116	01122018	001117	16.24	-49.73	33319.2	-3.01	198.99	727.12	0	6000	500	75	258.3526484
5	116	01122018	001118	16.24	-49.6	33319.2	-3.01	198.99	727.12	0	6000	500	75	258.3526484
5	117	01122018	001125	16.56	-49.26	32040	-3.01	167.02	795.4	0	6000	500	75	258.3526484
5	117	01122018	001127	16.79	-49.64	32040	-3.01	167.02	795.4	0	6000	500	75	258.3526484
5	117	01122018	001128	15.63	-46.39	32040	-3.01	167.02	795.4	0	6000	500	75	258.3526484
5	118	01122018	001129	17.49	-49.66	34804.8	-3.01	174.89	1092.69	0	6000	500	75	328.2362674
5	118	01122018	001130	17.6	-49.48	34356.9	-3.01	174.89	884.04	0	6000	500	75	328.2362674
5	118	01122018	001131	17.71	-49.42	34804.8	-3.01	174.89	1092.69	0	6000	500	75	328.2362674
5	119	01122018	001119	16.2	-49.4	33343.6	-3.01	209.79	740.82	0	6000	500	75	333.0097729
5	119	01122018	001120	16.6	-49.72	38815.6	-3.01	221.55	778.2	0	6000	500	75	331.8949121
5	119	01122018	001121	16.22	-49.42	34332.1	-3.01	211.13	730.96	0	6000	500	75	331.8949121
5	119	01122018	001122	16.66	-49.49	31472	-3.01	196.49	766.46	0	6000	500	75	330.2087772
5	119	01122018	001123	16.74	-49.22	34585.3	-3.01	195.8	745.14	0	6000	500	75	330.2087772
5	119	01122018	001124	16.37	-49.39	30637.9	-3.01	182.57	734.89	0	6000	500	75	330.2087772
5	120	01122018	001132	17.96	-49.05	33648.5	-3.01	167.69	915.56	0	6000	500	75	258.3526484
5	120	01122018	001133	17.89	-49.19	33648.5	-3.01	167.69	915.56	0	6000	500	75	258.3526484
5	120	01122018	001134	17.86	-48.93	33648.5	-3.01	167.69	915.56	0	6000	500	75	258.3526484
5	121	01122018	001139	18.25	-48.33	29946.3	-3.01	155.08	856.76	0	6000	500	75	319.1284539
5	121	01122018	001141	18.14	-48.75	26967.4	-3.01	141.09	734.98	0	6000	500	75	319.1284539
5	121	01122018	001142	18.55	-48.17	26020.4	-3.01	135.24	758.91	0	6000	500	75	317.755351
5	121	01122018	001143	18.57	-48.48	26124	-3.01	150.12	760.14	0	6000	500	75	317.755351
5	121	01122018	001144	18.19	-48.39	23462.9	-3.01	137.18	730.15	0	6000	500	75	317.755351
5	121	01122018	001146	18.69	-48.83	24349.8	-3.01	146.9	667.04	0	6000	500	75	310.1229367
5	121	01122018	001148	18.3	-48.37	18901.6	-3.01	115.5	730.6	0	6000	500	75	310.1229367
5	121	01122018	001148	18.26	-48.32	18325.5	-3.01	117.77	731.38	0	6000	500	75	310.1229367
5	121	01122018	001150	18.31	-48.55	18235.2	-3.01	118.82	688.35	0	6000	500	75	307.8220301
5	121	01122018	001151	18.21	-48.31	16657.5	-3.01	106.28	746.94	0	6000	500	75	307.8220301
5	122	01122018	001151	15.07	-52.06	209.5	-3.01	5.1	170.43	0	6000	500	75	307.8220301
5	122	01122018	001152	18.04	-48.84	17795.8	-3.01	128.66	748.29	0	6000	500	75	307.8220301
5	122	01122018	001153	18.27	-48.32	14243.5	-3.01	102.99	682.84	0	6000	500	75	302.4334278
5	122	01122018	001154	18.08	-47.75	14791.8	-3.01	102.92	683.87	0	6000	500	75	302.4334278
5	122	01122018	001156	17.91	-46.89	12865.1	-3.01	98.36	626.06	0	6000	500	75	302.4334278
5	123	01122018	001157	17.67	-46.47	11795.5	-3.01	97.43	747.22	0	6000	500	75	258.3526484
5	123	01122018	001158	17.54	-46.63	11795.5	-3.01	97.43	747.22	0	6000	500	75	258.3526484
5	123	01122018	001159	17.47	-46.36	11795.5	-3.01	97.43	747.22	0	6000	500	75	258.3526484
5	124	01122018	001200	17.26	-46.91	12662.9	-3.01	96.58	1082.2	0	6000	500	75	290.9554868
5	124	01122018	001201	17.3	-46.5	12662.9	-3.01	96.58	1082.2	0	6000	500	75	290.9554868
5	124	01122018	001202	16.49	-44.52	12662.9	-3.01	96.58	1082.2	0	6000	500	75	290.9554868
5	125	01122018	001204	17.2	-43.36	19730.7	-3.01	90.52	1190.27	0	6000	500	75	258.3526484
5	125	01122018	001204	16.42	-45.79	19730.7	-3.01	90.52	1190.27	0	6000	500	75	258.3526484
5	125	01122018	001206	15.4	-41.14	19730.7	-3.01	90.52	1190.27	0	6000	500	75	258.3526484
5	126	01122018	001207	17.65	-44.63	16924	-3.01	96.67	1263.16	0	6000	500	75	281.2679999
5	126	01122018	001208	16.29	-43.96	20460.4	-3.01	109.19	1263.24	0	6000	500	75	281.2679999
