Set	Process_ID	 Interval	 Layer	 Sv_mean	 NASC	 Height_mean	 Depth_mean	 Layer_depth_min	 Layer_depth_max	 Ping_S	 Ping_E	 Dist_M	 Date_M	 Time_M	 Lat_M	 Lon_M	 Noise_Sv_1m	 Minimum_Sv_threshold_applied	 Maximum_Sv_threshold_applied	 Standard_deviation	 Thickness_mean	 Range_mean	 Exclude_below_line_range_mean	 Exclude_above_line_range_mean
7	2237	1	1	-57.459448	3115.043848	40.264022	49.303895	0	150	0	3378	0	20181202	 07:00:24.7120	999	999	-999	1	0	1.28433E-05	40.264022	49.303895	69.841428	29.578661
8	2238	1	1	-59.728827	1780.855558	38.816782	55.59189	0	150	0	2503	0	20181203	 06:42:03.6050	999	999	-999	1	0	3.35738E-05	38.816782	55.59189	75.463626	36.646154
9	2196	1	1	-51.583189	11278.9595	37.678717	45.312488	0	150	0	5899	0.114977	20181204	 06:39:32.5320	3.397635	-10.78929	-999	1	0	2.79512E-05	37.678717	45.312488	63.933432	26.222309
10	2197	1	1	-54.347518	5842.044372	36.882882	51.535713	0	150	0	3027	0.11279	20181204	 10:20:32.3260	3.46665667	-10.64673167	-999	1	0	1.54418E-05	36.882882	51.535713	70.003042	33.117522
11	2240	1	1	-65.154012	480.357068	36.515185	50.147662	0	150	1	5442	1.279925	20181205	 06:57:20.2340	3.137815	-11.11909833	-999	1	0	3.1073E-06	36.515185	50.147662	69.203663	32.68896
13	2199	1	1	-57.176911	2272.885951	27.528145	52.331753	0	150	0	4298	0.107677	20181206	 06:50:20.4100	3.22701667	-11.7092	-999	1	0	1.55374E-05	27.528145	52.331753	64.849644	37.322124
14	2200	1	1	-56.891894	4437.655117	50.332805	66.722316	0	150	2	3412	0.104137	20181206	 09:26:06.2100	3.26001	-11.66481833	-999	1	0	1.50889E-05	50.332805	66.722316	88.920938	38.5893
15	2201	1	1	-54.011064	6793.029181	39.689723	39.138365	0	150	0	2647	0.124797	20181206	 12:49:38.2020	3.37821167	-11.84634167	-999	1	0	6.62205E-05	39.689723	39.138365	58.204544	18.514433
16	2202	1	1	-63.950757	907.421833	52.286928	68.088539	0	150	0	14478	0	20181207	 07:15:27.6280	999	999	-999	1	0	6.79952E-05	52.286928	68.088539	90.631503	38.345479
17	2203	1	1	-58.783483	2954.078328	51.793888	54.556651	0	150	0	5785	0	20181207	 11:11:42.9130	999	999	-999	1	0	1.45484E-05	51.793888	54.556651	75.654998	23.85947
18	2204	1	1	-60.726207	1715.563144	47.047397	52.224233	0	150	0	6093	0.207696	20181208	 06:56:16.6220	1.882435	-9.44224333	-999	1	0	1.77355E-05	47.047397	52.224233	71.257496	24.210411
19	2205	1	1	-49.741106	24845.70763	54.308788	47.165465	0	150	0	5016	0.134701	20181208	 10:31:58.3980	1.81660667	-9.33997	-999	1	0	0.000192421	54.308788	47.165465	73.67944	19.370656
20	2206	1	1	-55.939699	5625.885255	51.247054	44.782763	0	150	3	6402	0.123854	20181208	 17:25:25.1730	2.50140667	-9.404865	-999	1	0	0.00020364	51.247054	44.782763	68.875464	17.627177
22	2207	1	1	-58.305368	1808.338485	28.400418	46.890013	0	150	1	2720	0.053509	20181209	 10:42:28.2260	2.75815333	-10.91807167	-999	1	0	4.89171E-05	28.400418	46.890013	60.984981	32.586253
