Lance	Fecha	Hora	Temperatura agua	Lat60	N/S	Long60	E/W	Lat	Long	Captura Total	skj	bet	yft	Auxis
5	01122018	101000	28.4	3.1178	N	10.5496	W	3.205000	-10.926667	85	80.7	1.9	2.4	
7	02122018	064900		3.36174	N	10.3785	W	3.648333	-10.640278	25	22.5	0.8	1.4	0.3
8	03122018	063000		3.1188	N	11.5158	W	3.207778	-11.866111	20	16.5	1.6	1.7	0.2
9	04122018	062000		3.2398	N	10.4727	W	3.656389	-10.790833	70	67.4	0.9	0.9	0.8
10	04122018	095500		3.2794	N	10.38823	W	3.710000	-10.656111	90	83.3	1.4	4.1	1.1
11	05122018	064600	28.38	3.0829	N	11.57161	W	3.214444	-11.954444	45	35.3	2.1	7.6	0.1
13	06122018	063600	28.23	3.1342	N	11.56523	W	3.228333	-11.947778	25	23.3	0.4	1.3	0.0
14	06122018	091000	28.24	3.1526	N	11.39829	W	3.322778	-11.672778	50	42.5	3.3	4.3	0.0
15	06122018	124000	28.12	3.2259	N	11.51119	W	3.529444	-11.853056	45	37.0	0.3	3.0	4.6
16	07122018	071800	28.3	3.2822	N	11.5264	W	3.472778	-11.884444	10	5.7	1.9	2.4	0.0
17	07122018	110100	28.1	3.2942	N	11.39375	W	3.599722	-11.660278	25	15.4	4.4	4.6	0.5
18	08122018	064400	27.81	1.5309	N	9.26323	W	1.909167	-10.056389	35	30.6	0.4	3.6	0.4
19	08122018	101900	27.93	1.4800	N	9.2027	W	1.800000	-9.035278	25	15.6	3.4	5.2	0.8
20	08122018	171000	28.7	2.3015	N	9.2432	W	2.542778	-9.721389	10	3.3	1.2	5.2	0.2
22	09122018	102200	28.33	2.4568	N	10.5535	W	2.937778	-10.926389	10	5.6	1.8	2.4	0.2
24	10122018	070300	28.21	2.2450	N	10.5152	W	2.538333	-10.864167	10	6.5	0.6	2.9	0.0
25	10122018	123400	28.23	2.4213	N	11.0485	W	2.735556	-11.090000	10	8.3	0.0	1.5	0.2
26	10122018	155200	28.34	2.4946	N	10.5822	W	2.945000	-10.972778	25	18.3	1.6	4.8	0.3
27	11122018	090000	28.21	2.3618	N	10.4963	W	2.650833	-10.834167	5	3.1	0.5	1.4	0.0
28	11122018	142600	28.09	2.0822	N	11.0408	W	2.193056	-11.068889	10	5.4	1.6	2.9	0.1
29	12122018	064400	28.06	2.2491	N	13.1264	W	2.651667	-13.217500	5	3.7	0.5	0.7	0.1
30	12122018	095600	28.04	2.2874	N	13.2374	W	2.671667	-13.403889	30	19.2	1.3	8.9	0.7
31	13122018	090900	26.89	2.2975	N	17.3292	W	2.690833	-17.558889	55	38.1	4.8	4.5	7.5
32	13122018	143400	28.2	2.3414	N	18.0654	W	2.604167	-18.115000	10	2.1	0.6	7.2	0.1
33	14122018	071000	27.42	2.0418	N	18.1469	W	2.115556	-18.252222	40	28.3	5.2	5.5	1.0
34	14122018	140800	27.17	2.2078	N	17.5590	W	2.549444	-17.941667	15	9.1	0.6	2.7	2.6
36	15122018	123300	27.8	2.5624	N	16.2986	W	3.000833	-16.506944	10	8.8	0.4	0.7	0.1
37	16122018	094200	28.18	2.1526	N	20.2285	W	2.321111	-20.390278	15	9.9	2.0	2.8	0.3
38	17122018	073200	28.4	4.2461	N	22.0667	W	4.570556	-22.118333	20	7.7	3.2	9.1	0.0
41	20122018	121800	27.82	2.0345	N	15.0211	W	2.174167	-15.036389	15	10.5	0.1	4.0	0.4
43	21122018	085800	28.2	1.4992	N	11.5777	W	2.072500	-11.971111	35	27.8	2.7	3.9	0.7
44	21122018	140800	28.14	2.1388	N	12.2335	W	2.459722	-12.392778	20	16.6	1.1	2.1	0.2
45	22122018	065300	28.77	2.5907	N	12.1716	W	3.002500	-12.287500	10	9.0	0.0	1.0	0.0
46	22122018	095700	28.77	3.0219	N	12.1006	W	3.038611	-12.168333	15	11.8	1.0	2.0	0.3
47	22122018	142300	28.97	3.0654	N	11.4460	W	3.250278	-11.749722	5	4.6	0.0	0.2	0.2
48	23122018	065500	28.73	2.5316	N	11.3792	W	2.928889	-11.642222	15	13.1	0.6	1.1	0.2
49	23122018	105900	28.54	2.4205	N	11.2750	W	2.714722	-11.463611	20	15.8	1.3	2.8	0.1
50	23122018	134900	28.58	2.4274	N	11.2458	W	2.905278	-11.415833	15	12.5	0.3	1.3	0.8
53	24122018	161000	28.55	2.2749	N	7.5868	W	2.585556	-8.454167	45	38.1	3.0	2.8	1.1
55	25122018	135600	28.73	2.0882	N	5.3836	W	2.361667	-6.399167	12	5.4	3.0	3.5	0.1
57	28122018	101900	28.79	2.4161	N	5.4306	W	2.851944	-5.517222	40	29.1	1.0	7.1	2.8
59	29122018	065900	28.85	2.4045	N	6.5840	W	2.790278	-7.410278	30	23.0	2.1	4.1	0.8
60	29122018	100400	28.79	2.3626	N	7.0014	W	2.672500	-7.027500	15	12.7	0.2	1.3	0.8
61	29122018	153200	28.72	2.0490	N	7.1648	W	2.069167	-8.089722	40	35.2	0.8	3.7	0.2
63	30122018	112200	28.65	2.1195	N	7.4952	W	2.209722	-8.588333	25	21.5	1.4	1.3	0.8
64	30122018	135100	28.78	2.1226	N	7.5112	W	2.273056	-7.187500	10	8.0	0.0	1.8	0.2
65	31122018	065600	29	2.2609	N	8.0072	W	2.457222	-8.121111	15	13.8	0.0	0.9	0.4
66	31122018	134600	28.91	2.3836	N	7.1724	W	2.733611	-8.211944	20	16.5	0.2	2.6	0.8
