set	Minutos	Zfin	SD_Zfin	 Zsup	SD_Zsup
7	641	59.875475	16.87755649	26.35359367	10.8930507
7	643	40.026869		29.62166438	4.038110241
7	646	47.81556	12.70028309	38.064484	0.229700401
7	647	69.0975505	0.89894177	29.9685045	5.768454634
7	648	69.7821032	0.288632941	36.03690329	3.169795712
7	649	70.8773876	0.1825475	36.65988256	1.268380285
7	650	69.66040467	2.583761526	30.14648838	9.90402504
7	651	71.54672867	0.105394137	25.37743613	7.968268847
7	652	72.276918	0.10539356	36.8870528	0.538437921
7	653	70.5122928	2.366085389	15.5655108	5.852916251
7	654	71.0234256	1.831852637	25.08405643	4.807192746
7	655	67.90447214	0.688813404	33.39431167	0.105394137
7	656	70.20804711	1.261427791	38.14923786	0.704755121
7	657	74.847795	2.741114316	26.01128156	5.864134562
7	658	68.686818		16.55648257	0.861765443
7	659	71.09035967	0.521672823	28.48425315	4.001603484
7	700	73.48520829	1.118934522	30.92557443	6.403425717
7	701	67.2994578	2.150653772	33.846334	2.834738346
7	702	71.007779	2.488977652	33.5464345	0.235667938
7	703	73.02739111	3.755309592	35.889127	0.10539356
7	704	73.0223205	1.753310541	32.651952	2.111562052
7	705	72.3986165	2.494072977	36.76709286	0.400337942
7	706	70.53837129	2.378793943	29.6946834	2.364676685
7	707	58.05850033	7.861088525	22.92825767	5.189829915
7	708	64.30568	0	32.9075182	1.91021733
7	709	64.60992567	0.105394137	25.0944878	3.294462888
7	710	70.9869164	3.072550752	21.04193433	0.658184649
7	711	69.99507517	2.535811015	26.44012314	3.413290927
7	712	67.426661	3.639250914	25.267201	7.44894709
8	632	64.6980115	2.380218511	38.3162578	10.23599092
8	633	65.21841675	1.483022531	46.4768788	2.105993431
8	634	72.93104675	3.690826465	42.9111185	4.656292045
8	635	80.1873076	0.89014618	44.1524414	2.222785452
8	636	73.067957	1.527301603	23.08038067	12.29097093
8	637	71.48119862	1.59033766	42.27828744	7.423534065
8	638	76.11041483	3.811173	19.34922145	8.670174194
8	639	69.143187	2.194368717	49.33678875	0.745247211
8	641	67.5002601	1.699968704	44.935367	8.029724903
8	642	72.44208029	2.205369425	29.33954536	2.541757565
8	643	76.77106271	5.565666269	37.66896425	7.815875671
8	644	84.44674844	9.020411815	25.26334413	5.86545937
8	645	74.71088425	7.924886396	42.791159	11.55225345
8	646	79.90334489	5.588688694	45.17876367	0.669340557
8	647	77.79759564	6.171321218	35.280635	6.769655831
8	648	76.7949675	5.476123772	34.5321905	4.231926041
8	649	81.5016493	6.144739882	36.14358673	5.305879428
8	650	96.46126775	13.1630874	39.25174355	8.58797201
9	626	67.8830295	2.993848392	19.973325	0.037724147
9	627	63.027848	0	17.4640042	3.907965167
9	628	59.924541	0	13.71975333	2.609605838
9	629	40.99787228	9.043142919	15.9306058	4.851932952
9	630	54.29517724	0.7424694	29.72597714	2.89757697
9	631	56.21852914	3.124418667	28.49595508	5.625323577
9	632	54.1433546	5.496471861	16.41739878	3.783182932
9	633	44.48624441	10.48233157	13.52326119	1.729510638
9	634	61.53568	2.726069889	19.855376	0.737756649
9	635	67.82623757	0.228835231	24.73852013	1.089838222
9	636	63.75803723	1.730192997	28.28298311	3.085807968
9	637	68.5955445	1.370119739	27.39052889	4.003347044
9	638	68.869366	0.428111622	27.248547	0
9	639	67.926204	1.086490894	26.51835775	2.992145182
9	640	68.30512827	0.299450565	26.85737443	2.093145008
9	641	69.8551222	0.571463795	24.61464857	1.349111587
9	642	73.49943291	3.752913545	31.949144	1.740594059
9	643	70.27758914	0.513239582	29.499966	2.699913412
9	644	68.650309	1.728908324	25.06803808	4.984225822
9	645	69.4900272	0.208136086	25.26831085	2.017527441
9	646	65.55308733	2.353139463	31.72837941	1.587460135
9	647	64.85332213	0.218185636	32.42123465	2.555440482
9	648	67.04389133	0.163275448	38.48990251	2.827773593
9	649	66.861344	0.653101791	27.15001964	2.539869297
9	650	68.75969238	0.817756759	29.02138716	3.911466165
10	1007	70.803789	1.136729305	27.3664965	10.41779926
10	1009	82.104056	8.90655721	32.359876	0.516322301
10	1010	89.862323		28.435106	0.129080929
10	1011	79.27457		21.8633975	2.968852168
10	1013	74.46748733	0.421575393	20.494292	#¡DIV/0!
10	1014	71.60757767	2.455924804	28.43128225	1.345328427
10	1015	69.348553	0.816012173	28.95232356	3.603867417
10	1016	69.47785733	0.105394137	32.603273	0.10539356
10	1017	71.07653045	1.317518487	30.81302653	1.137355817
10	1018	66.00945567	2.65709495	33.45516093	0.768311915
10	1019	64.94459563	1.298160538	33.3638871	1.033540208
10	1020	72.15521995	2.753859736	31.36727438	3.302019662
10	1021	70.77090192	1.522251663	34.24239669	3.446696205
10	1022	71.54672867	2.126893302	40.0086141	2.482839011
10	1023	71.33375642	1.342573139	32.92273083	2.175942123
10	1024	67.53345041	4.953793349	33.323321	1.461460415
10	1025	69.00429217	3.062634333	36.62692263	2.023863359
10	1026	71.18752517	0.954786481	32.236303	8.212272315
11	646	70.76996267	0.599905884	43.28256846	7.78086565
11	647	71.63432179	2.200321233	44.01041508	2.288378141
11	648	72.27650004	3.265858216	42.40183188	4.903130802
11	649	61.3033442	2.601105709	36.00125924	1.260918884
11	650	63.19376733	2.743382089	31.47207506	3.146143891
11	651	69.33160305	2.757908093	30.87031414	6.941539296
11	652	58.11098712	11.95504109	23.04971477	6.685026695
11	653	56.79474277	5.655137333	9.327040313	1.342346292
11	654	63.41532354	5.809466989	17.23027094	2.807183104
11	655	69.63295333	0.105501524	17.9132378	0.989877461
11	656	72.22168025	2.426202901	27.8630855	3.122197623
11	657	70.3943434	1.699521251	32.187782	0.393144326
11	658	81.2213125	6.667543135	34.17392271	0.31143939
11	659	74.524124	2.948316737	35.96310592	2.690243849
11	700	75.83066975	6.456646599	39.664634	5.802572855
11	701	77.97779	3.652180518	46.18213425	2.136239282
11	702	71.92473788	1.233331387	46.163861	1.094539242
11	703	71.886668	0.907556681	39.1468885	0.447604009
11	704	71.4724722	0.510347464	39.61590487	2.389020205
11	705	66.6483036	3.199143793	40.33465723	1.37354443
11	706	60.51367371	0.14377404	24.20841225	5.405077101
11	707	76.67254971	9.066937475	21.53339467	1.454554282
11	708	85.074342	11.00770748	26.982295	4.705598271
13	641	66.871763	2.950749983	47.3989738	15.7696582
13	642	64.12326081	2.767757403	38.87426492	5.06488064
13	643	66.47349165	2.567782373	37.0019305	1.23849823
13	644	66.85272375	7.906839803	35.31811769	6.918280393
13	645	60.94867307	2.250316112	31.94380086	1.794194759
13	646	59.02342339	2.712382648	32.7214396	1.407574957
13	647	63.92736941	2.40393325	37.2881086	2.147920932
13	648	65.01083394	2.645794928	38.34425455	2.572708297
13	649	64.67594493	5.459814213	38.402376	2.712463027
13	650	68.90235235	8.414356908	33.69870667	2.860910545
13	651	52.01104938	0.569331048	33.19637283	2.269776786
13	652	53.47238367	0.326764216	28.966935	1.087969728
13	653	55.05549533	0.660300873	30.61294329	2.051591344
13	654	56.212385	1.285895776	33.04415083	0.989889915
13	655	69.67753486	13.84043368	40.4665101	3.426916018
13	656	68.91602773	6.522694124	41.85021075	3.135029674
13	657	59.500387	0	36.301708	1.265552367
13	658	81.9501297	19.76901821	46.1657132	7.377114341
13	659	81.85423175	7.742471188	44.39123614	1.82579738
13	700	90.08876427	11.8086276	42.6950448	2.134154261
13	701	74.2726295	4.989334699	38.8788	8.338562832
